145  468  tensor(77.5800, device='cuda:0')
146  468  tensor(76.3833, device='cuda:0')
147  468  tensor(77.5233, device='cuda:0')
148  468  tensor(77.5050, device='cuda:0')
149  468  tensor(75.9317, device='cuda:0')
150  468  tensor(75.7400, device='cuda:0')
151  468  tensor(76.3700, device='cuda:0')
152  468  tensor(75.7517, device='cuda:0')
153  468  tensor(77.0167, device='cuda:0')
154  468  tensor(76.2033, device='cuda:0')
155  468  tensor(74.6933, device='cuda:0')
156  468  tensor(76.8133, device='cuda:0')
157  468  tensor(79.4467, device='cuda:0')
158  468  tensor(77.0317, device='cuda:0')
159  468  tensor(77.1967, device='cuda:0')
160  468  tensor(75.1183, device='cuda:0')
161  468  tensor(76.6233, device='cuda:0')
162  468  tensor(76.5033, device='cuda:0')
163  468  tensor(78.2383, device='cuda:0')
164  468  tensor(77.4250, device='cuda:0')
165  468  tensor(78.4633, device='cuda:0')
166  468  tensor(77.0567, device='cuda:0')
167  468  tensor(75.2800, device='cuda:0')
168  468  tensor(76.1450, device='cuda:0')
169  468  tensor(76.4000, device='cuda:0')
170  468  tensor(75.4450, device='cuda:0')
171  468  tensor(77.2300, device='cuda:0')
172  468  tensor(77.2383, device='cuda:0')
173  468  tensor(76.2150, device='cuda:0')
174  468  tensor(78.9617, device='cuda:0')
175  468  tensor(77.8100, device='cuda:0')
176  468  tensor(77.7867, device='cuda:0')
177  468  tensor(77.6867, device='cuda:0')
178  468  tensor(78.7400, device='cuda:0')
179  468  tensor(78.0183, device='cuda:0')
180  468  tensor(78.1867, device='cuda:0')
181  468  tensor(78.3367, device='cuda:0')
182  468  tensor(77.6683, device='cuda:0')
183  468  tensor(76.4950, device='cuda:0')
184  468  tensor(76.0717, device='cuda:0')
185  468  tensor(78.4683, device='cuda:0')
186  468  tensor(76.2400, device='cuda:0')
187  468  tensor(74.2750, device='cuda:0')
188  468  tensor(77.6083, device='cuda:0')
189  468  tensor(76.9217, device='cuda:0')
190  468  tensor(78.1933, device='cuda:0')
191  468  tensor(78.5467, device='cuda:0')
192  468  tensor(78.4633, device='cuda:0')
193  468  tensor(78.1100, device='cuda:0')
194  468  tensor(78.2700, device='cuda:0')
195  468  tensor(75.9050, device='cuda:0')
196  468  tensor(75.9783, device='cuda:0')
197  468  tensor(78.8833, device='cuda:0')
198  468  tensor(76.7183, device='cuda:0')
199  468  tensor(76.4400, device='cuda:0')
200  468  tensor(77.4050, device='cuda:0')
201  468  tensor(77.2717, device='cuda:0')
202  468  tensor(75.6483, device='cuda:0')
203  468  tensor(79.2383, device='cuda:0')
204  468  tensor(75.8550, device='cuda:0')
205  468  tensor(77.8533, device='cuda:0')
