94  234  lr 0.0982341456229428  tensor(72.6983, device='cuda:0')
95  234  lr 0.09819210792799711  tensor(72.5117, device='cuda:0')
96  234  lr 0.09814958493905962  tensor(77.0883, device='cuda:0')
97  234  lr 0.09810657708433637  tensor(76.4450, device='cuda:0')
98  234  lr 0.09806308479691594  tensor(75.5550, device='cuda:0')
99  234  lr 0.09801910851476524  tensor(76.9917, device='cuda:0')
100  234  lr 0.09797464868072488  tensor(73.9433, device='cuda:0')
101  234  lr 0.09792970574250492  tensor(76.8950, device='cuda:0')
102  234  lr 0.09788428015268028  tensor(76.1433, device='cuda:0')
103  234  lr 0.09783837236868609  tensor(76.8917, device='cuda:0')
104  234  lr 0.09779198285281326  tensor(77.7117, device='cuda:0')
105  234  lr 0.0977451120722037  tensor(76.1067, device='cuda:0')
106  234  lr 0.09769776049884564  tensor(76.7617, device='cuda:0')
107  234  lr 0.09764992860956889  tensor(78.2450, device='cuda:0')
108  234  lr 0.09760161688604008  tensor(73.6250, device='cuda:0')
109  234  lr 0.09755282581475769  tensor(74.0517, device='cuda:0')
110  234  lr 0.09750355588704727  tensor(75.7667, device='cuda:0')
111  234  lr 0.09745380759905647  tensor(73.9300, device='cuda:0')
112  234  lr 0.09740358145174999  tensor(77.2700, device='cuda:0')
113  234  lr 0.09735287795090455  tensor(73.7750, device='cuda:0')
114  234  lr 0.09730169760710386  tensor(75.3117, device='cuda:0')
115  234  lr 0.09725004093573342  tensor(76.6867, device='cuda:0')
116  234  lr 0.09719790845697535  tensor(75.3317, device='cuda:0')
117  234  lr 0.09714530069580309  tensor(77.3950, device='cuda:0')
118  234  lr 0.09709221818197625  tensor(75.8117, device='cuda:0')
119  234  lr 0.09703866145003512  tensor(73.6417, device='cuda:0')
120  234  lr 0.09698463103929543  tensor(74.0717, device='cuda:0')
121  234  lr 0.09693012749384279  tensor(78.8433, device='cuda:0')
122  234  lr 0.09687515136252732  tensor(77.8083, device='cuda:0')
123  234  lr 0.09681970319895804  tensor(76.5333, device='cuda:0')
124  234  lr 0.09676378356149734  tensor(76.6600, device='cuda:0')
125  234  lr 0.09670739301325534  tensor(75.8050, device='cuda:0')
126  234  lr 0.09665053212208426  tensor(77.9767, device='cuda:0')
127  234  lr 0.09659320146057263  tensor(76.3050, device='cuda:0')
128  234  lr 0.09653540160603956  tensor(75.9183, device='cuda:0')
129  234  lr 0.09647713314052897  tensor(75.0917, device='cuda:0')
130  234  lr 0.09641839665080364  tensor(78.7517, device='cuda:0')
131  234  lr 0.09635919272833937  tensor(77.4250, device='cuda:0')
132  234  lr 0.09629952196931901  tensor(74.5033, device='cuda:0')
133  234  lr 0.09623938497462646  tensor(77.9933, device='cuda:0')
134  234  lr 0.09617878234984056  tensor(78.8483, device='cuda:0')
135  234  lr 0.09611771470522908  tensor(76.4817, device='cuda:0')
136  234  lr 0.0960561826557425  tensor(74.6667, device='cuda:0')
137  234  lr 0.09599418682100792  tensor(73.3617, device='cuda:0')
138  234  lr 0.09593172782532268  tensor(74.4500, device='cuda:0')
139  234  lr 0.09586880629764817  tensor(73.0600, device='cuda:0')
140  234  lr 0.09580542287160349  tensor(74.2700, device='cuda:0')
141  234  lr 0.09574157818545902  tensor(75.0267, device='cuda:0')
142  234  lr 0.09567727288213004  tensor(77.2983, device='cuda:0')
143  234  lr 0.09561250760917027  tensor(75.8083, device='cuda:0')
144  234  lr 0.09554728301876525  tensor(77.1783, device='cuda:0')
145  234  lr 0.09548159976772592  tensor(78.1983, device='cuda:0')
146  234  lr 0.09541545851748186  tensor(76.7967, device='cuda:0')
147  234  lr 0.09534885993407474  tensor(77.7050, device='cuda:0')
148  234  lr 0.09528180468815155  tensor(77.7350, device='cuda:0')
149  234  lr 0.09521429345495787  tensor(78.8950, device='cuda:0')
150  234  lr 0.09514632691433107  tensor(78.1100, device='cuda:0')
151  234  lr 0.09507790575069347  tensor(78.1650, device='cuda:0')
152  234  lr 0.09500903065304539  tensor(77.8850, device='cuda:0')
153  234  lr 0.09493970231495835  tensor(77.5567, device='cuda:0')
154  234  lr 0.09486992143456792  tensor(78.8517, device='cuda:0')
