0  tensor(93.9900, device='cuda:0')
76  468  tensor(91.5733, device='cuda:0')
0  tensor(94.1500, device='cuda:0')
77  468  tensor(91.5217, device='cuda:0')
0  tensor(94.1600, device='cuda:0')
78  468  tensor(91.6050, device='cuda:0')
0  tensor(93.6500, device='cuda:0')
79  468  tensor(91.7117, device='cuda:0')
0  tensor(94.1200, device='cuda:0')
80  468  tensor(91.7217, device='cuda:0')
0  tensor(94.0100, device='cuda:0')
81  468  tensor(91.7417, device='cuda:0')
0  tensor(94.2500, device='cuda:0')
82  468  tensor(91.6317, device='cuda:0')
0  tensor(94.1700, device='cuda:0')
83  468  tensor(91.6983, device='cuda:0')
0  tensor(94.2700, device='cuda:0')
84  468  tensor(91.7000, device='cuda:0')
0  tensor(94.4900, device='cuda:0')
85  468  tensor(91.7050, device='cuda:0')
0  tensor(94.2900, device='cuda:0')
86  468  tensor(91.9600, device='cuda:0')
0  tensor(94.2800, device='cuda:0')
87  468  tensor(91.9183, device='cuda:0')
0  tensor(94.6000, device='cuda:0')
88  468  tensor(92.0100, device='cuda:0')
0  tensor(94.6400, device='cuda:0')
89  468  tensor(92., device='cuda:0')
0  tensor(94.5000, device='cuda:0')
90  468  tensor(92.0100, device='cuda:0')
0  tensor(94.5900, device='cuda:0')
91  468  tensor(92.1850, device='cuda:0')
0  tensor(94.7600, device='cuda:0')
92  468  tensor(91.9600, device='cuda:0')
0  tensor(94.0700, device='cuda:0')
93  468  tensor(92.2183, device='cuda:0')
0  tensor(94.6700, device='cuda:0')
94  468  tensor(92.1567, device='cuda:0')
0  tensor(94.3700, device='cuda:0')
95  468  tensor(92.0267, device='cuda:0')
0  tensor(94.1600, device='cuda:0')
96  468  tensor(92.2300, device='cuda:0')
0  tensor(94.0300, device='cuda:0')
97  468  tensor(92.3683, device='cuda:0')
0  tensor(94.4800, device='cuda:0')
98  468  tensor(92.3850, device='cuda:0')
0  tensor(94.1900, device='cuda:0')
99  468  tensor(92.3650, device='cuda:0')
0  tensor(94.6900, device='cuda:0')
100  468  tensor(92.4483, device='cuda:0')
0  tensor(94.6700, device='cuda:0')
101  468  tensor(92.2417, device='cuda:0')
0  tensor(94.5000, device='cuda:0')
102  468  tensor(92.4300, device='cuda:0')
0  tensor(94.7200, device='cuda:0')
103  468  tensor(92.5050, device='cuda:0')
0  tensor(94.6800, device='cuda:0')
104  468  tensor(92.5650, device='cuda:0')
0  tensor(94.8100, device='cuda:0')
105  468  tensor(92.6550, device='cuda:0')
0  tensor(94.6200, device='cuda:0')
106  468  tensor(92.4850, device='cuda:0')
0  tensor(94.5500, device='cuda:0')
107  468  tensor(92.6467, device='cuda:0')
0  tensor(94.7000, device='cuda:0')
108  468  tensor(92.4800, device='cuda:0')
0  tensor(94.6400, device='cuda:0')
109  468  tensor(92.5483, device='cuda:0')
0  tensor(94.8700, device='cuda:0')
110  468  tensor(92.6550, device='cuda:0')
0  tensor(94.5000, device='cuda:0')
111  468  tensor(92.6767, device='cuda:0')
0  tensor(94.6800, device='cuda:0')
112  468  tensor(92.7117, device='cuda:0')
0  tensor(94.8300, device='cuda:0')
113  468  tensor(92.8083, device='cuda:0')
0  tensor(94.7900, device='cuda:0')
114  468  tensor(92.7500, device='cuda:0')
0  tensor(94.5600, device='cuda:0')
115  468  tensor(92.9017, device='cuda:0')
0  tensor(94.5400, device='cuda:0')
116  468  tensor(92.8283, device='cuda:0')
0  tensor(94.8100, device='cuda:0')
117  468  tensor(92.8583, device='cuda:0')
0  tensor(94.6500, device='cuda:0')
118  468  tensor(93.1283, device='cuda:0')
0  tensor(94.7800, device='cuda:0')
119  468  tensor(92.8450, device='cuda:0')
0  tensor(94.7300, device='cuda:0')
120  468  tensor(93.0150, device='cuda:0')
0  tensor(94.6300, device='cuda:0')
121  468  tensor(92.9833, device='cuda:0')
0  tensor(94.9800, device='cuda:0')
122  468  tensor(92.9633, device='cuda:0')
0  tensor(94.5500, device='cuda:0')
123  468  tensor(93.0467, device='cuda:0')
0  tensor(94.8300, device='cuda:0')
124  468  tensor(92.9817, device='cuda:0')
0  tensor(94.5100, device='cuda:0')
125  468  tensor(93.1317, device='cuda:0')
0  tensor(94.8100, device='cuda:0')
126  468  tensor(93.1067, device='cuda:0')
0  tensor(94.8800, device='cuda:0')
127  468  tensor(93.1717, device='cuda:0')
0  tensor(94.6800, device='cuda:0')
128  468  tensor(93.1467, device='cuda:0')
0  tensor(94.9200, device='cuda:0')
129  468  tensor(93.0783, device='cuda:0')
0  tensor(94.8200, device='cuda:0')
130  468  tensor(93.0717, device='cuda:0')
0  tensor(94.8400, device='cuda:0')
131  468  tensor(93.2050, device='cuda:0')
0  tensor(94.7100, device='cuda:0')
132  468  tensor(93.1467, device='cuda:0')
0  tensor(94.8900, device='cuda:0')
133  468  tensor(93.3117, device='cuda:0')
0  tensor(94.7100, device='cuda:0')
134  468  tensor(93.2283, device='cuda:0')
0  tensor(94.7700, device='cuda:0')
135  468  tensor(93.2900, device='cuda:0')
0  tensor(94.5800, device='cuda:0')
136  468  tensor(93.3567, device='cuda:0')
0  tensor(95.0600, device='cuda:0')
137  468  tensor(93.4000, device='cuda:0')
0  tensor(94.7200, device='cuda:0')
138  468  tensor(93.2567, device='cuda:0')
0  tensor(94.6700, device='cuda:0')
139  468  tensor(93.5050, device='cuda:0')
0  tensor(94.8500, device='cuda:0')
140  468  tensor(93.4733, device='cuda:0')
0  tensor(94.8300, device='cuda:0')
141  468  tensor(93.3650, device='cuda:0')
0  tensor(94.8200, device='cuda:0')
142  468  tensor(93.4283, device='cuda:0')
0  tensor(95.0500, device='cuda:0')
143  468  tensor(93.3967, device='cuda:0')
0  tensor(95.0800, device='cuda:0')
144  468  tensor(93.4067, device='cuda:0')
0  tensor(94.8800, device='cuda:0')
145  468  tensor(93.4483, device='cuda:0')
0  tensor(94.6000, device='cuda:0')
146  468  tensor(93.4000, device='cuda:0')
0  tensor(94.9000, device='cuda:0')
147  468  tensor(93.5883, device='cuda:0')
0  tensor(94.7600, device='cuda:0')
148  468  tensor(93.5550, device='cuda:0')
0  tensor(95.1600, device='cuda:0')
149  468  tensor(93.7233, device='cuda:0')
0  tensor(94.6400, device='cuda:0')
150  468  tensor(93.6517, device='cuda:0')
0  tensor(94.8100, device='cuda:0')
151  468  tensor(93.6100, device='cuda:0')
0  tensor(94.9900, device='cuda:0')
152  468  tensor(93.7233, device='cuda:0')
0  tensor(94.9700, device='cuda:0')
153  468  tensor(93.7633, device='cuda:0')
0  tensor(94.9000, device='cuda:0')
154  468  tensor(93.6650, device='cuda:0')
0  tensor(94.8500, device='cuda:0')
155  468  tensor(93.6767, device='cuda:0')
0  tensor(95.1100, device='cuda:0')
156  468  tensor(93.7767, device='cuda:0')
0  tensor(94.7800, device='cuda:0')
157  468  tensor(93.9083, device='cuda:0')
0  tensor(94.9600, device='cuda:0')
158  468  tensor(93.7050, device='cuda:0')
0  tensor(94.8700, device='cuda:0')
159  468  tensor(93.8467, device='cuda:0')
0  tensor(94.9500, device='cuda:0')
160  468  tensor(93.8483, device='cuda:0')
0  tensor(94.9700, device='cuda:0')
161  468  tensor(93.7950, device='cuda:0')
